iloϾ;typ;czas bubble;czas counting;czas merge;czas quick;czas selection;czas shell;
23;const;0,0028;0,0014;0,0033;0,0012;0,0019;0,001;
24;const;0,0027;0,0015;0,0032;0,0014;0,0019;0,0009;
25;const;0,0027;0,0082;0,0039;0,0013;0,0019;0,0008;
26;const;0,0029;0,001;0,0036;0,0012;0,002;0,0009;
27;const;0,003;0,0017;0,0096;0,0013;0,0022;0,0014;
28;const;0,0031;0,0016;0,0055;0,0014;0,0023;0,0009;
29;const;0,0046;0,0008;0,0038;0,0013;0,0025;0,001;
30;const;0,0051;0,0058;0,0033;0,0012;0,0041;0,0012;
31;const;0,0035;0,0011;0,0039;0,0015;0,0043;0,0016;
32;const;0,0035;0,0009;0,0075;0,0016;0,0464;0,0014;
33;const;0,0038;0,0017;0,0044;0,002;0,0027;0,0013;
34;const;0,0041;0,0014;0,0072;0,0017;0,0032;0,0014;
35;const;0,0043;0,0012;0,0047;0,0017;0,0092;0,0012;
36;const;0,0041;0,0079;0,0041;0,0017;0,0035;0,0373;
37;const;0,0043;0,0015;0,0051;0,0018;0,0035;0,0014;
38;const;0,0043;0,0043;0,0039;0,0015;0,0036;0,0013;
39;const;0,0052;0,0011;0,0058;0,0022;0,0208;0,0024;
40;const;0,0076;0,0094;0,0074;0,0031;0,0064;0,0023;
41;const;0,0076;0,0026;0,0142;0,003;0,0067;0,0023;
42;const;0,0081;0,0019;0,0082;0,0028;0,0062;0,0022;
43;const;0,0077;0,0022;0,0152;0,0024;0,0066;0,0024;
44;const;0,0095;0,0028;0,0087;0,0034;0,0075;0,0026;
45;const;0,0085;0,0027;0,0074;0,0029;0,0069;0,0024;
46;const;0,022;0,0022;0,0144;0,0026;0,0075;0,0024;
47;const;0,0092;0,0019;0,0097;0,0034;0,008;0,0026;
48;const;0,0231;0,0013;0,0054;0,0025;0,0057;0,0018;
49;const;0,0065;0,0055;0,0059;0,0023;0,0055;0,0018;
50;const;0,0089;0,0014;0,0119;0,0028;0,0065;0,0018;
51;const;0,0076;0,0019;0,0071;0,0027;0,0073;0,0022;
52;const;0,0084;0,0012;0,0038;0,0015;0,0041;0,0012;
53;const;0,0076;0,0015;0,0113;0,0022;0,0066;0,0019;
54;const;0,0078;0,0017;0,0112;0,002;0,0064;0,0018;
55;const;0,0082;0,0018;0,0128;0,0023;0,0071;0,002;
56;const;0,0089;0,0014;0,0082;0,0028;0,0073;0,002;
57;const;0,0085;0,006;0,0063;0,0025;0,0078;0,0021;
58;const;0,0089;0,0018;0,0113;0,0026;0,0079;0,0021;
59;const;0,0088;0,0011;0,0131;0,0021;0,007;0,0018;
60;const;0,0089;0,0018;0,0121;0,0027;0,008;0,002;
61;const;0,0094;0,0017;0,0133;0,0025;0,0081;0,0019;
62;const;0,009;0,0016;0,0067;0,0026;0,0082;0,0022;
63;const;0,0097;0,0018;0,0066;0,0025;0,0104;0,0021;
64;const;0,0099;0,0053;0,0064;0,0037;0,0088;0,0023;
65;const;0,0098;0,0013;0,0118;0,0031;0,0094;0,0027;
66;const;0,0117;0,0023;0,0153;0,0038;0,0106;0,0028;
67;const;0,0115;0,0031;0,013;0,0039;0,0104;0,0027;
68;const;0,0102;0,0022;0,0153;0,0031;0,0096;0,0028;
69;const;0,0121;0,0016;0,0131;0,0035;0,0112;0,003;
70;const;0,0135;0,0019;0,0143;0,0035;0,0118;0,0043;
71;const;0,0138;0,002;0,014;0,0034;0,0114;0,0029;
72;const;0,0133;0,0025;0,028;0,0034;0,0128;0,0028;
73;const;0,0119;0,0017;0,0126;0,0032;0,0114;0,0027;
74;const;0,0143;0,0018;0,0132;0,0032;0,0275;0,0032;
75;const;0,0132;0,0022;0,0151;0,004;0,012;0,0034;
76;const;0,0129;0,0088;0,0083;0,0033;0,0133;0,0037;
77;const;0,0284;0,0199;0,0079;0,0033;0,0125;0,0031;
78;const;0,0137;0,0063;0,0082;0,0032;0,0122;0,003;
79;const;0,0307;0,0076;0,0116;0,0048;0,0159;0,004;
80;const;0,017;0,0077;0,0116;0,0049;0,0161;0,004;
81;const;0,0165;0,0062;0,0104;0,0044;0,0156;0,0038;
